X,Y,AGEB
-96.7774980802118,17.0003490001535,200230001006A
-96.7771114300059,16.9997272602261,200230001006A
-96.776930019645,16.9998254495431,200230001006A
-96.7767384799778,16.9999160504454,200230001006A
-96.7767221102469,16.999925650052,200230001006A
-96.7765256500714,17.000040739601,200230001006A
-96.7760533504388,17.0002083096392,200230001006A
-96.7759473400002,17.0002376497074,200230001006A
-96.775529090061,17.0003041803827,200230001006A
-96.7752802801089,17.0003421196081,200230001006A
-96.7747885100951,17.0003723100652,200230001006A
-96.7745821398155,17.0003954600065,200230001006A
-96.7744867396199,17.0004198197514,200230001006A
-96.7743859799283,17.0004492001697,200230001006A
-96.7742478896365,17.0005086498998,200230001006A
-96.7741570601266,17.0005940302139,200230001006A
-96.7741019762252,17.0006408455569,200230001006A
-96.7737642001882,17.0009279203656,200230001006A
-96.7735754802412,17.0010946297414,200230001006A
-96.7733472498716,17.0012855095895,200230001006A
-96.7732762898362,17.0012847203441,200230001006A
-96.7731833704613,17.0012477999287,200230001006A
-96.7729675998482,17.0011736296927,200230001006A
-96.7728301399928,17.0011110901952,200230001006A
-96.7727826602268,17.0010208002863,200230001006A
-96.772727710374,17.0009304298604,200230001006A
-96.7726171498213,17.0008035497285,200230001006A
-96.7724632801496,17.0005505400782,200230001006A
-96.7721822897991,17.0003068803136,200230001006A
-96.7721119698315,17.0002432407444,200230001006A
-96.7716444003784,16.9998200895765,200230001006A
-96.7728223098947,16.9985895499624,200230001006A
-96.7728354299155,16.9985711700836,200230001006A
-96.7731420296979,16.9982231402939,200230001006A
-96.7732643099508,16.9980888497345,200230001006A
-96.7735099198622,16.9978190902541,200230001006A
-96.7735744498022,16.9977562300343,200230001006A
-96.7737928200431,16.9975988799341,200230001006A
-96.7738683403829,16.9975617195678,200230001006A
-96.7737499701532,16.9974510801919,200230001006A
-96.7736299100965,16.9974096498913,200230001006A
-96.7730321498574,16.9971866302958,200230001006A
-96.7727995498466,16.997111940169,200230001006A
-96.7725665695492,16.9970692896888,200230001006A
-96.7724667996701,16.9970441404086,200230001006A
-96.7723835196624,16.9970352300299,200230001006A
-96.7722360599098,16.9970190197251,200230001006A
-96.7722404004085,16.9969876498443,200230001006A
-96.7724281399871,16.9957256803107,200230001006A
-96.7728886801418,16.9958698199824,200230001006A
-96.7729573698413,16.995246909984,200230001006A
-96.7730297395644,16.994886479598,200230001006A
-96.7730030297928,16.9948326898819,200230001006A
-96.772926709586,16.994678919575,200230001006A
-96.7729525503659,16.9945256803045,200230001006A
-96.7730527502393,16.9943454203857,200230001006A
-96.7730574899574,16.9943368802906,200230001006A
-96.7731107699648,16.9942073697241,200230001006A
-96.7731138601569,16.9941255200034,200230001006A
-96.7731161995483,16.9940639799163,200230001006A
-96.7730980501605,16.9938912598669,200230001006A
-96.7730902196837,16.9938167099473,200230001006A
-96.773089629761,16.9938111201695,200230001006A
-96.7729760751642,16.9933943748373,200230001006A
-96.7729704498928,16.9933735398233,200230001006A
-96.7730242497987,16.9916774497439,200230001006A
-96.773046979562,16.9912610295423,200230001006A
-96.7730627797144,16.9909662903676,200230001006A
-96.773106630117,16.9901485998178,200230001006A
-96.7731155401654,16.9899826496318,200230001006A
-96.7731333404143,16.9899477099653,200230001006A
-96.773152020289,16.989911110123,200230001006A
-96.7731629403982,16.9895904799204,200230001006A
-96.7732055400087,16.9884257398173,200230001006A
-96.7731980600951,16.9883999203971,200230001006A
-96.7731778202614,16.9883299095865,200230001006A
-96.7732073701182,16.987334579663,200230001006A
-96.7732085199624,16.9866335795847,200230001006A
-96.7732322499386,16.9855298601332,200230001006A
-96.7732734896039,16.9841492502934,200230001006A
-96.773046179824,16.9840851101011,200230001006A
-96.7730942602048,16.9827298300611,200230001006A
-96.7731113402791,16.9826255999763,200230001006A
-96.772984020443,16.9822768596945,200230001006A
-96.7730485996699,16.982280769602,200230001006A
-96.7734269397643,16.9823254304385,200230001006A
-96.773719509914,16.9823654201595,200230001006A
-96.7741903998328,16.9827288200565,200230001006A
